twenty19,twenty18
15501,35200
39398,58451
88483,127881
85092,120615
81056,113995
75889,101562
47955,63133
25189,37137
48278,57805
87353,113349
79925,101723
83155,97848
67816,83962
45372,49731
28256,30517
43434,52638
78795,93327
77988,93004
80410,89290
64586,80410
42627,53768
25027,32455
46502,56352
68623,93650
77019,90744
74920,77988
61357,69753
36330,62326
40851,38267
60227,37621
51508,73951
56190,67977
58935,65071
37460,67654
36007,50216
33746,36491
41497,47309
64263,84447
66362,82347
64748,82670
54898,76212
36814,52799
28418,30194
42627,48278
61841,88806
62487,94134
61357,79603
52153,67493
36330,42950
29710,33262
40366,54575
65878,77988
69107,79925
60550,70399
54252,64909
35038,41658
26642,29871
43434,62649
87191,104145
81056,106890
78957,57643
35522,58773
30678,43111
23251,31324
41981,48924
55383,75889
66362,74759
62326,71852
60388,69753
43111,54898
21313,31324
39721,53284
76858,89613
73305,89129
70883,85415
73144,91712
56674,62164
29548,36814
50862,60065
92520,101723
97525,106567
100432,115932
94780,104630
63940,68946
33100,33908
54414,66524
107536,121584
109474,124006
109312,145642
125782,136277
92681,67170
24866,30356
35522,54575
70560,96556
127235,142090
135631,167278
133371,150647
93650,108505
45533,54252
91874,100432
160012,177451
157590,176805
143543,178904
142897,168247
99624,108182
53445,60227
100270,105599
171961,198118
167440,194082
170346,190852
161950,173091
103661,114479
54898,56513
108828,107698
178742,199733
180680,204254
155007,184717
144996,165341
92843,116578
46179,71691
104468,111573
173576,171638
133209,192790
139668,191014
132725,181487
93327,123360
38590,65555
82186,101077
163403,182295
148225,202962
140798,188915
113995,170346
84608,124006
34715,63940
62164,115286
113995,214103
148225,204415
133371,198441
121261,182456
80733,113510
35684,55221
75727,102208
144189,205061
139991,196665
139829,183586
114802,160012
74759,104307
33585,47471
69915,97041
138860,222661
159205,219593
160981,195535
122552,149517
63133,112703
28902,58289
76212,107536
141605,197634
134824,183263
137730,196019
124329,177935
82347,116740
31324,57482
62164,99463
126912,172607
134178,199087
140152,192629
128850,173414
88968,123683
38590,50054
78311,89775
153554,157429
142736,140798
138053,103338
126105,66524
76373,54737
33423,51669
54737,98978
103015,179388
93973,193759
50054,177451
28095,178097
36814,118031
34877,35522
45533,94457
116901,184394
129980,175352
132725,160012
117708,144350
77019,108505
31647,39721
61841,76373
137892,169216
120130,165179
117708,151778
109474,145642
76535,96556
28095,37621
48278,62487
123360,138376
96234,120130
80087,102854
70722,82347
41981,46179
16954,20183
19376,19699
23413,18246
11948,19053
10657,28741
19537,27611
18084,25673
12756,25512
31163,28579
40689,37621
24543,27772
