this year,last year
129322,185503
135682,184443
130382,175566
93282,116867
37631,59626
79236,95667
158340,177951
147873,199416
139128,189876
116867,162183
81886,114747
33126,60421
60951,108652
116602,207499
144163,195839
130515,191996
116867,176891
78176,107592
33656,51808
72346,98184
140320,199151
137405,190671
137405,179673
111965,152908
70756,97257
32463,45713
67179,92354
135285,208559
157943,205511
158870,196369
121505,141115
61084,107857
28488,57241
73274,101099
140983,193983
132105,179541
135417,189213
123095,174373
78706,112495
31536,54723
60554,93944
123095,166556
129852,192393
136477,185901
126142,162580
87982,117530
37101,48628
73804,88644
150125,151848
141248,138332
133827,97522
123625,62541
74996,51543
31668,50351
52868,94209
98979,170663
87452,186961
47833,174506
27958,170663
37366,114085
35776,36041
42533,91029
110904,177553
127335,168146
132370,153570
114217,141645
74864,103617
29416,37631
60554,71551
133165,161653
116470,157413
115940,148005
104279,138995
75791,93547
26500,34583
45846,60421
117397,135417
93282,118325
78044,96727
68371,78441
40016,44918
15900,19478
18020,18550
23188,17623
11528,18948
10998,26235
17755,26103
16563,23983
12853,25175
30608,28356
39883,35378
24513,26765
14443,73406
43858,78176
28488,39618
47701,76189
116337,156353
129587,170398
130117,178348
129455,162315
89837,109314
34981,51941
62674,86922
147343,184576
133297,175831
132900,181263
121637,168013
74466,108652
29018,49026
50748,81356
86789,122697
134755,168146
142970,164568
125612,165893
91824,105472
38028,58036
69166,95137
140850,176228
151450,191333
168411,171061
159135,198489
105869,114085
32728,56976
58699,99377
150788,193851
151715,199151
145488,186563
141778,181263
90234,121107
44521,65854
86259,103749
153438,200344
154895,186563
142440,184708
133960,151848
80031,113290
40678,51411
55519,88909
101099,140718
145355,182853
146680,171193
121770,154233
84007,115940
43196,58036
79369,99509
159798,190538
156485,188021
144163,169338
140983,158340
96064,92884
62674,50748
65324,104279
