G4,G3,G2,G5
63,90,81,74
63,83,85,52
76,82,83,87
60,87,78,64
58,55,60,57
54,69,48,48
75,102,94,92
82,117,103,101
89,107,87,95
66,100,88,81
56,83,86,62
50,49,52,49
53,55,51,52
58,76,78,64
78,90,77,86
46,78,90,64
55,60,55,52
43,65,36,57
36,42,44,46
26,45,58,39
51,53,77,65
75,85,99,80
78,103,75,76
62,80,92,78
59,59,65,49
43,66,58,58
41,47,37,41
58,69,72,62
87,84,85,86
64,72,61,72
61,78,78,63
41,76,69,77
36,56,56,51
31,47,46,39
46,77,57,61
81,81,57,82
57,72,60,66
43,64,53,70
58,54,44,62
44,49,40,44
35,35,26,32
32,47,41,43
55,63,52,72
45,67,44,56
48,57,50,49
37,60,45,61
37,44,36,53
32,37,30,31
52,65,52,53
72,47,58,73
60,63,50,67
58,48,43,62
49,40,57,53
52,41,42,46
31,27,20,33
32,34,43,43
47,50,53,70
51,49,60,61
49,44,47,73
40,64,41,41
46,48,43,42
31,33,35,43
44,62,43,60
54,94,61,75
44,52,56,55
56,69,62,62
46,58,53,49
51,46,46,49
41,47,41,56
48,68,66,59
40,68,57,67
51,60,67,51
57,55,57,68
45,56,51,59
39,53,40,40
31,56,36,49
40,60,62,54
44,73,55,63
53,62,61,61
68,66,56,63
50,75,61,58
31,54,39,49
40,43,42,42
51,54,57,59
64,66,63,68
41,56,61,57
57,57,55,55
43,55,51,47
38,61,42,47
31,46,44,35
44,65,53,58
56,65,64,52
43,69,59,54
38,55,50,39
37,37,29,56
45,41,35,38
40,38,40,30
54,60,51,66
65,74,62,68
64,72,61,60
51,68,47,67
43,61,39,55
46,39,46,54
48,64,34,50
46,39,78,58
54,44,46,54
48,72,55,56
48,53,48,53
38,50,43,33
48,44,48,51
39,43,35,64
58,55,49,59
40,46,46,53
63,62,62,57
53,51,64,49
41,43,38,48
36,34,42,36
43,40,36,41
60,54,58,56
59,54,49,50
40,52,46,52
53,57,47,38
49,54,58,42
38,44,30,47
39,31,33,29
67,57,48,32
60,49,41,62
51,54,50,43
50,61,43,65
35,42,41,44
37,32,34,35
26,36,35,26
44,53,59,40
49,56,57,44
48,38,65,60
48,51,44,45
35,46,36,45
44,37,36,52
44,36,38,48
57,52,75,55
48,56,53,66
59,66,63,51
51,65,56,48
50,41,61,58
36,48,30,50
35,35,42,39
59,58,51,50
62,56,71,62
48,77,81,79
55,60,69,65
61,64,47,63
39,49,58,43
31,46,53,35
55,63,73,48
72,63,62,62
53,82,62,75
70,82,69,84
47,64,80,55
46,63,53,53
40,66,62,45
52,69,92,67
63,77,91,63
71,85,88,79
56,93,103,78
62,92,93,68
66,70,66,53
46,70,74,43
66,108,90,71
73,115,93,90
73,129,100,88
80,97,104,78
76,103,96,59
52,62,88,60
46,76,84,67
77,80,94,80
72,116,122,89
105,127,104,90
70,112,111,76
70,110,75,73
55,61,77,61
49,59,55,49
69,85,84,60
63,105,79,53
69,107,94,49
80,104,88,72
48,95,71,46
50,54,60,33
33,49,58,29
73,70,86,54
82,105,86,64
64,84,82,68
61,90,71,60
67,77,82,53
38,44,64,44
34,62,71,35
51,58,72,46
63,88,102,58
65,89,88,55
65,113,79,53
59,82,78,45
47,59,60,43
49,66,45,37
61,67,75,56
75,97,93,58
74,85,91,47
64,95,71,55
59,63,82,36
36,51,43,28
33,45,47,24
45,70,57,37
54,87,98,58
66,69,66,47
44,88,66,56
34,71,62,27
45,44,43,40
40,62,51,40
62,108,79,57
70,92,99,56
79,110,86,63
57,92,79,63
45,77,64,59
44,48,46,43
43,46,49,40
50,64,72,52
61,80,76,57
68,79,80,68
53,82,88,49
53,70,74,45
51,59,47,50
41,58,50,32
44,83,79,51
59,90,103,52
58,88,105,57
54,83,74,36
42,72,56,44
42,53,49,31
33,44,48,29
45,66,75,40
43,63,88,45
38,60,70,34
41,49,53,30
27,32,33,33
32,47,35,35
28,39,47,31
38,72,71,44
53,75,67,42
47,93,73,68
45,65,76,49
39,56,70,40
37,50,44,24
22,33,37,25
28,51,69,32
34,74,68,34
42,78,58,36
36,52,52,35
34,33,46,43
30,37,34,30
20,29,30,25
41,31,44,35
35,49,50,23
32,44,51,37
25,30,32,33
27,35,35,35
19,28,22,19
12,13,13,12
10,16,10,7
19,16,13,21
10,5,10,11
16,8,15,19
17,19,16,25
15,16,8,21
8,17,20,20
16,17,21,18
21,20,25,16
10,11,19,13
18,19,22,15
24,36,36,28
26,42,31,18
22,24,32,29
28,49,38,34
44,57,47,47
36,51,60,32
35,57,54,40
48,45,52,44
41,39,28,26
21,34,22,28
35,54,48,44
51,43,64,41
48,38,59,51
